"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,2,4,1,0.333333333333333,0.666666666666667,0.453125,0.390625,0.505859375,0.49609375,"; ; 0.15563965 % of all edit distance cells or 204 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,2,0.333333333333333,0.666666666666667,0.359375,0.28125,0.4765625,0.55078125,"; ; 0.17929077 % of all edit distance cells or 235 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,3,0.333333333333333,0.666666666666667,0.34375,0.34375,0.533203125,0.578125,"; ; 0.14038086 % of all edit distance cells or 184 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,4,0.333333333333333,0.666666666666667,0.4375,0.515625,0.521484375,0.447265625,"; ; 0.19226074 % of all edit distance cells or 252 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,5,0.333333333333333,0.666666666666667,0.34375,0.390625,0.486328125,0.5234375,"; ; 0.1991272 % of all edit distance cells or 261 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,6,0.333333333333333,0.666666666666667,0.40625,0.390625,0.55859375,0.57421875,"; ; 0.18157959 % of all edit distance cells or 238 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,7,0.333333333333333,0.666666666666667,0.34375,0.3125,0.54296875,0.546875,"; ; 0.1663208 % of all edit distance cells or 218 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,8,0.333333333333333,0.666666666666667,0.359375,0.390625,0.490234375,0.533203125,"; ; 0.17318726 % of all edit distance cells or 227 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,9,0.333333333333333,0.666666666666667,0.46875,0.5,0.5625,0.564453125,"; ; 0.19073486 % of all edit distance cells or 250 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,2,4,10,0.333333333333333,0.666666666666667,0.328125,0.359375,0.501953125,0.44140625,"; ; 0.16021729 % of all edit distance cells or 210 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
