"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,0,6,1,0,1,0.296875,0.28125,0.548828125,0.693359375,"; ; 0.16403198 % of all edit distance cells or 215 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,2,0,1,0.234375,0.265625,0.53515625,0.623046875,"; ; 0.15487671 % of all edit distance cells or 203 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,3,0,1,0.265625,0.328125,0.6328125,0.755859375,"; ; 0.14877319 % of all edit distance cells or 195 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,4,0,1,0.265625,0.328125,0.515625,0.646484375,"; ; 0.16784668 % of all edit distance cells or 220 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,5,0,1,0.28125,0.265625,0.486328125,0.62890625,"; ; 0.15411377 % of all edit distance cells or 202 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,6,0,1,0.265625,0.28125,0.4765625,0.47265625,"; ; 0.18081665 % of all edit distance cells or 237 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,7,0,1,0.3125,0.296875,0.486328125,0.564453125,"; ; 0.18386841 % of all edit distance cells or 241 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,8,0,1,0.25,0.296875,0.671875,0.669921875,"; ; 0.14419556 % of all edit distance cells or 189 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,9,0,1,0.265625,0.3125,0.48828125,0.56640625,"; ; 0.16708374 % of all edit distance cells or 219 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,10,0,1,0.34375,0.28125,0.583984375,0.673828125,"; ; 0.1739502 % of all edit distance cells or 228 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
