"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,6,0,1,1,0,0.578125,0.75,0.310546875,0.287109375,"; ; 1.33972168 % of all edit distance cells or 1756 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,2,1,0,0.6875,0.609375,0.279296875,0.294921875,"; ; 1.33895874 % of all edit distance cells or 1755 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,3,1,0,0.828125,0.609375,0.306640625,0.2890625,"; ; 1.36489868 % of all edit distance cells or 1789 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,4,1,0,0.625,0.828125,0.27734375,0.28515625,"; ; 1.38778687 % of all edit distance cells or 1819 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,5,1,0,0.765625,0.84375,0.29296875,0.27734375,"; ; 1.34735107 % of all edit distance cells or 1766 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,6,1,0,0.78125,0.671875,0.310546875,0.3203125,"; ; 1.37863159 % of all edit distance cells or 1807 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,7,1,0,0.75,0.546875,0.302734375,0.3203125,"; ; 1.32522583 % of all edit distance cells or 1737 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,8,1,0,0.609375,0.5,0.30078125,0.30078125,"; ; 1.71356201 % of all edit distance cells or 2246 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,9,1,0,0.65625,0.921875,0.27734375,0.287109375,"; ; 1.32904053 % of all edit distance cells or 1742 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,10,1,0,0.71875,0.796875,0.275390625,0.296875,"; ; 1.33972168 % of all edit distance cells or 1756 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
