"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,4,2,1,0.666666666666667,0.333333333333333,0.53125,0.6875,0.388671875,0.388671875,"; ; 0.29220581 % of all edit distance cells or 383 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,2,0.666666666666667,0.333333333333333,0.59375,0.5625,0.45703125,0.380859375,"; ; 0.28533936 % of all edit distance cells or 374 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,3,0.666666666666667,0.333333333333333,0.6875,0.609375,0.451171875,0.478515625,"; ; 0.30899048 % of all edit distance cells or 405 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,4,0.666666666666667,0.333333333333333,0.546875,0.46875,0.3984375,0.412109375,"; ; 0.32958984 % of all edit distance cells or 432 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,5,0.666666666666667,0.333333333333333,0.5625,0.59375,0.375,0.45703125,"; ; 0.33721924 % of all edit distance cells or 442 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,6,0.666666666666667,0.333333333333333,0.546875,0.609375,0.375,0.375,"; ; 0.27618408 % of all edit distance cells or 362 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,7,0.666666666666667,0.333333333333333,0.625,0.5625,0.412109375,0.390625,"; ; 0.26931763 % of all edit distance cells or 353 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,8,0.666666666666667,0.333333333333333,0.40625,0.859375,0.486328125,0.400390625,"; ; 0.28991699 % of all edit distance cells or 380 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,9,0.666666666666667,0.333333333333333,0.546875,0.703125,0.400390625,0.37109375,"; ; 0.28381348 % of all edit distance cells or 372 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,4,2,10,0.666666666666667,0.333333333333333,0.609375,0.8125,0.35546875,0.3671875,"; ; 0.27770996 % of all edit distance cells or 364 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
