"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
4,4,4,0,6,1,0,1,0.4375,0.5,0.828125,0.8125,"; ; 0.390625 % of all edit distance cells or 8 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,2,0,1,0.4375,0.4375,0.625,0.859375,"; ; 0.53710938 % of all edit distance cells or 11 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,3,0,1,0.4375,0.4375,0.734375,0.578125,"; ; 0.48828125 % of all edit distance cells or 10 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,4,0,1,0.5,0.4375,0.671875,0.859375,"; ; 0.1953125 % of all edit distance cells or 4 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,5,0,1,0.4375,0.5,0.578125,0.796875,"; ; 0.390625 % of all edit distance cells or 8 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,6,0,1,0.4375,0.4375,0.796875,0.859375,"; ; 0.48828125 % of all edit distance cells or 10 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,7,0,1,0.5,0.5,0.953125,0.875,"; ; 0.83007812 % of all edit distance cells or 17 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,8,0,1,0.375,0.5,0.71875,0.953125,"; ; 0.5859375 % of all edit distance cells or 12 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,9,0,1,0.4375,0.4375,0.6875,0.859375,"; ; 0.34179688 % of all edit distance cells or 7 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,0,6,10,0,1,0.375,0.5625,0.609375,0.703125,"; ; 0.48828125 % of all edit distance cells or 10 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
