"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,6,0,25,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,26,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,27,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,28,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,29,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,30,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,31,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,32,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,33,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,34,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,35,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,36,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,37,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
