"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
6,6,6,0,6,1,0,1,0.333333333333333,0.333333333333333,0.546296296296296,0.62962962962963,"; ; 0.29578189 % of all edit distance cells or 69 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,2,0,1,0.361111111111111,0.416666666666667,0.814814814814815,0.712962962962963,"; ; 0.38151578 % of all edit distance cells or 89 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,3,0,1,0.416666666666667,0.361111111111111,0.537037037037037,0.689814814814815,"; ; 0.29578189 % of all edit distance cells or 69 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,4,0,1,0.333333333333333,0.333333333333333,0.62037037037037,0.685185185185185,"; ; 0.24434156 % of all edit distance cells or 57 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,5,0,1,0.388888888888889,0.416666666666667,0.722222222222222,0.648148148148148,"; ; 0.32578875 % of all edit distance cells or 76 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,6,0,1,0.388888888888889,0.305555555555556,0.537037037037037,0.796296296296296,"; ; 0.26577503 % of all edit distance cells or 62 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,7,0,1,0.361111111111111,0.305555555555556,0.708333333333333,0.652777777777778,"; ; 0.25720165 % of all edit distance cells or 60 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,8,0,1,0.305555555555556,0.361111111111111,0.560185185185185,0.643518518518518,"; ; 0.28292181 % of all edit distance cells or 66 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,9,0,1,0.305555555555556,0.277777777777778,0.550925925925926,0.763888888888889,"; ; 0.30435528 % of all edit distance cells or 71 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
6,6,6,0,6,10,0,1,0.388888888888889,0.388888888888889,0.768518518518518,0.62037037037037,"; ; 0.24862826 % of all edit distance cells or 58 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
